Timestamp,condo_name,floor,total_floor,District,room_size,bts_distance,parking_car_per_room,fitnest,swim_pool,shopping_mall_distance,toll_distance,security_system,common_fee_charnge,bed_room_no,bathroom_no,total_funiture_price,owner_name,cost_estimate,year_built,price
2019/04/05 10:01:45 AM GMT+7,624 คอนโด,5,8,จตุจักร,26,2.8,1,มี,ไม่มี,2.5,15,รปภ;คียการด์;กล้องวงจรปิด,1000,1,1,12000,พฤกษา,250000,2556,1500000
2019/04/05 10:19:00 AM GMT+7,Pause condo,6,8,บางนา,26,0.8,0.3,มี,มี,4,1,รปภ;คียการด์;กล้องวงจรปิด,1200,1,1,40000,ออริจิ้น,111000,2559,2400000
2019/04/05 11:05:08 AM GMT+7,แซมเบอรเฌอ รามอินทรา,5,10,รามอินทรา,43,10,1,มี,มี,15,4,รปภ;คียการด์;กล้องวงจรปิด,1200,1,1,30000,Sc asset,120000,2561,3000000
2019/04/05 11:10:19 AM GMT+7,เมโทร  สำโรง,17,34,สำโรง,35,0.1,1,มี,มี,0.1,1,รปภ;คียการด์;กล้องวงจรปิด;ระบบแสกนใบหน้า,1000,1,1,30000,เมโทร โปลิส,100000,2561,2700000
2019/04/05 11:13:47 AM GMT+7,Porch condo,6,7,หลักสี่,41,1,1,มี,มี,1,2,รปภ;คียการด์;กล้องวงจรปิด;ระบบแสกนใบหน้า,1200,1,1,20000,ริช พรอพเพอร์ตี้,140000,2561,2800000
2019/04/05 1:11:54 PM GMT+7,ONYX,8,26,พญาไท (สะพานควาย),34,240,1,มี,มี,0.15,7.4,รปภ;คียการด์;กล้องวงจรปิด,1632,1,1,150000,แสนสิริ,200000,2556,4480000
2019/04/05 1:15:17 PM GMT+7,The Address,3,8,สุขุมวิท 42,45,0.36,1,มี,มี,0.4,1.7,รปภ;คียการด์;กล้องวงจรปิด,1944,1,1,150000,AP,250000,2552,4900000
2019/04/05 1:21:53 PM GMT+7,The Crest พหลโยธิน11,17,30,พญาไท,83,1.3,138/163,มี,มี,3.4,1,รปภ;กล้องวงจรปิด;ฟิตเนส,3320,2,2,3.7*,เอสซี แอสเสท คอร์ปอเรชั่น,84668,2555,9900000
2019/04/05 1:34:36 PM GMT+7,Noble Reform,12,22, พญาไท,37,0.35,114,มี,มี,1.3,7,กล้องวงจรปิด;สวนสาธารณะ,2220,1,1,-,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),128000,2555,7900000
2019/04/05 1:42:25 PM GMT+7,Lumpini Ville Ratchaphruek-Bangwaek,4,8,ภาษีเจริญ,22.56,4.8,325,มี,มี,4.2,18,กล้องวงจรปิด,786,1,1,-,บริษัท แอล.พี.เอ็น. ดีเวลลอปเมนท์ จำกัด (มหาชน),52000,2559,1350000
2019/04/05 1:49:07 PM GMT+7,Bangkok Horizon Ratchada-Thaphra,8,30, ธนบุรี,33,1.1,253,มี,มี,0.9,7.9,รปภ;กล้องวงจรปิด;ห้องยิมนาสติก,1023,1,1,-,บริษัท เจ้าพระยามหานคร จำกัด (มหาชน),69697,2557,2300000
2019/04/05 1:57:22 PM GMT+7,เดอะทรัสต์ คอนโด แอท บีทีเอส เอราวัณ,28,30, เมืองสมุทรปราการ,28.5,0.5,471,มี,มี,5.9,1.7,คียการด์;กล้องวงจรปิด,1566,1,1,-,บริษัท เดอะ คอนฟิเด้นซ์ จำกัด,94178,2558,2750000
2019/04/05 3:50:07 PM GMT+7,The Estate @ Thapra ดิ เอสเตท แอท ท่าพระ,8,8,เขตบางกอกใหญ่ ,28.46,2.7,1,มี,มี,2.9,8.5,รปภ;คียการด์;กล้องวงจรปิด,360,1,1,1460000,บริษัท ดิเอสเตท จำกัด,57976,2555,1650000
2019/04/05 4:05:45 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,2,22,บางกอกใหญ่,27,2.2,1,มี,มี,2,5.3,รปภ;กล้องวงจรปิด,1215,1,1,2900000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),107407,2559,2900000
2019/04/05 4:08:17 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,10,22,เขตบางกอกใหญ่,34,2.1,1,มี,มี,2,5.3,รปภ;กล้องวงจรปิด,1530,1,1,4491000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),132088,2559,4491000
2019/04/05 4:10:33 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,22,22,เขตบางกอกใญ่,63,2.1,2,มี,มี,2,5.3,รปภ;กล้องวงจรปิด,2835,1,1,6500000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),"103,174",2559,6500000
2019/04/05 8:15:46 PM GMT+7,The Prodigy,11,33,ภาษีเจริญ,34.5,6.7,1,มี,มี,1,6.7,รปภ;คียการด์,1500,1,1,2900000,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,83000,2558,2900000
2019/04/05 8:20:45 PM GMT+7,The prodigy,6,33,ภาษีเจริญ,51,6.7,2,มี,มี,1,10,รปภ;คียการด์,1500,2,1,3978400,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,78780,2553,3978400
2019/04/05 8:33:26 PM GMT+7,The Niche Bangkae,8,8,บางแค,27,1,1,มี,มี,1.5,13,รปภ;คียการด์;กล้องวงจรปิด,1231,1,1,1500000,SENA Development,55556,2553,1500000
2019/04/05 8:39:03 PM GMT+7,The Niche Bangkae,5,8,บางแค,30.5,1,1,มี,มี,1.5,13,รปภ;คียการด์;กล้องวงจรปิด,1390,1,1,1960000,SENA Development,64262,2553,1960000
2019/04/05 8:51:04 PM GMT+7,Fuse Sense Bangkae,11,24,บางแค,24,9.8,1,มี,มี,1.7,12.6,รปภ;คียการด์;กล้องวงจรปิด,1200,1,1,1290000,Pruksa Real Estate,1290000,2558,1290000
2019/04/05 10:32:11 PM GMT+7,Ease ,7,18,พระราม2,27,20,1000,มี,มี,0.8,6.4,รปภ;คียการด์;กล้องวงจรปิด,4000,1,1,70000,LH,666666,2562,1800000
2019/04/06 1:47:36 AM GMT+7,The lake metro park,1,8,ภาษีเจริญ,34,2,1,มี,มี,3,8,รปภ;คียการด์;กล้องวงจรปิด,1200,1,1,200000,PF,120000,2559,1800000
2019/04/06 2:18:36 AM GMT+7,เดอะ คีย์ MRT เพชรเกษม 48,7,30,ภาษีเจริญ,27.8,1.3,46%,มี,มี,1.5,10.2,รปภ;คียการด์;กล้องวงจรปิด,55,1,1,400000,แลนด์แอนด์เฮ้าส์,103900,2561,2890000
2019/04/06 2:28:33 AM GMT+7,MAXXI Ratchayothin  Phahol 34,3,8,จตุจักร ,22,1.1,79,มี,มี,3.8,4.8,รปภ;คียการด์;กล้องวงจรปิด,1100,3,1,-,บริษัท แม็กซิมัส เอสเตท จำกัด ร่วมกับ บจก.อาร์เคพลัส เอสเตท จำกัด,79090,2561,1740000
2019/04/06 2:39:41 AM GMT+7,MAGNIX Ramintra 21,4,8,บางเขน ,23,0.3,29,มี,มี,1.5,5.4,รปภ;คียการด์;กล้องวงจรปิด,1035,1,1,-,บริษัท เดอะ รอยัล เรสซิเดนซ์ จำกัด,73600,2562,1590000
2019/04/06 2:47:17 AM GMT+7,ชีวาทัย เพชรเกษม 27 ,10,26,ภาษีเจริญ,23,0.3,246,มี,มี,0.1,14.7,รปภ;คียการด์;กล้องวงจรปิด,805,1,1,-,บริษัท ชีวาทัย จำกัด (มหาชน),85000,2559,2200000
2019/04/06 2:53:05 AM GMT+7,แอสปาย สุขุมวิท-อ่อนนุช,3,8,สวนหลวง,26.5,2.3,206,มี,มี,0.9,5.1,รปภ;คียการด์;กล้องวงจรปิด,1511,1,1,-,AP Thailand,86000,2562,1890000
2019/04/10 2:50:47 PM GMT+7,Present Condo,3,8,ธนบุรี,32,4.2,ไม่ระบุ,มี,มี,2.1,7,รปภ;คียการด์;กล้องวงจรปิด,550,1,1,100000,บริษัท พรีบิลท์ จำกัด (มหาชน),90000,2559,1390000
2019/04/10 2:52:44 PM GMT+7,PE-LA วุฒากาศ,9,21,จอมทอง,60.5,0.1,47%,มี,มี,1.3,6.5,รปภ;คียการด์;กล้องวงจรปิด,540,2,2,100000,บริษัท ชนันธร ดีเวลลอปเม้นท์ กรุ๊ป จำกัด,85000,2559,2300000
2019/04/10 2:54:39 PM GMT+7,NYE By Sansiri,10,30,คลองสาน,35,35,52%,มี,มี,1.5,2.6,รปภ;คียการด์;กล้องวงจรปิด,550,1,1,100000,บริษัท แสนสิริ จำกัด (มหาชน),145000,2559,3300000
2019/04/10 2:56:41 PM GMT+7,นิช ไอดี พระราม 2- ดาวคะนอง,5,8,จอมทอง,28,7,48%,มี,มี,5,1,รปภ;คียการด์;กล้องวงจรปิด,550,1,1,ไม่ระบุ,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2558,1620000
2019/04/10 2:58:39 PM GMT+7,แอสปาย สาทร-ตากสิน (คอปเปอร์ โซน),5,21,ภาษีเจริญ,26,0.55,35%,มี,มี,3,7.7,รปภ;คียการด์;กล้องวงจรปิด,390,1,1,150000,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),175000,2558,1990000
